,architecture,batch_size,convolution_kernel_size,data_total_rows_test,data_total_rows_train,data_total_rows_valid,dropout,fit_best_round,fit_dt_test_duration_seconds,fit_dt_test_end,fit_dt_test_start,fit_dt_train_duration_seconds,fit_dt_train_end,fit_dt_train_start,fit_num_epochs,fit_stopped_epoch1,fit_stopped_epoch2,fit_stopped_epoch3,fit_test_acc,fit_train_acc,fit_train_loss,fit_val_acc,fit_val_loss,frame_size,layer_1_size,layer_2_size,layer_3_size,model_id,model_param_count,model_weights_path,num_features,path_model,pooling,pretrained_model_name,sequence_length,sequence_model,sequence_model_layers,verbose
2250,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,3.0,7,2019-01-21 22:43:44,2019-01-21 22:43:37,1653,2019-01-21 22:43:31,2019-01-21 22:15:57,15,7,1,4,0.6675167357347784,0.9702975791705432,0.0733487003050246,0.9428749833713824,0.14345892952407663,"[224, 224]",512,256,0,1849,6034183,,2048.0,/mnt/seals/models/1849/,max,resnet50,3.0,LSTM,2.0,True
503,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,12,2019-01-22 04:59:39,2019-01-22 04:59:27,1569,2019-01-22 04:59:16,2019-01-22 04:33:07,16,2,7,4,0.69377990430622,0.9662931020911687,0.08278321924640202,0.9428616201832947,0.16137786810466562,"[224, 224]",512,512,256,2824,2494983,,512.0,/mnt/seals/models/2824/,max,vgg16,5.0,LSTM,1.0,True
1389,image_mlp_frozen,32,3,3139,60597,6416,0.2,2.0,0,2019-01-20 13:31:45,2019-01-20 13:31:45,349,2019-01-20 13:31:44,2019-01-20 13:25:55,18,2,5,8,0.6298184135074865,0.9703073576322642,0.07201558549151314,0.9428437992818932,0.1737483449075882,"[224, 224]",512,512,512,64,791559,,512.0,/mnt/seals/models/64/,max,vgg16,1.0,,,True
710,image_mlp_frozen,32,3,3139,60597,6416,0.2,2.0,1,2019-01-20 14:04:22,2019-01-20 14:04:21,350,2019-01-20 14:04:19,2019-01-20 13:58:29,16,4,6,3,0.6521185090793247,0.9737587297008181,0.06272104354629222,0.9428437983900532,0.16449543495576577,"[224, 224]",512,128,0,139,1115655,,2048.0,/mnt/seals/models/139/,max,resnet50,1.0,,,True
2565,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,14,2019-01-22 08:21:48,2019-01-22 08:21:34,1919,2019-01-22 08:21:21,2019-01-22 07:49:21,19,5,9,2,0.6318979266347687,0.9688499828114993,0.07684972944673997,0.9428393275252591,0.1576437432593323,"[224, 224]",256,512,512,3456,2758151,,2048.0,/mnt/seals/models/3456/,max,resnet50,5.0,LSTM,1.0,True
1361,video_mlp_concat,32,3,3137,60553,6412,0.2,2.0,1,2019-01-20 21:20:39,2019-01-20 21:20:37,327,2019-01-20 21:20:36,2019-01-20 21:15:09,12,3,2,4,0.6375518010838381,0.9644019189677132,0.0884917333665269,0.942830426017716,0.14900709532494108,"[224, 224]",128,128,256,361,837895,,2048.0,/mnt/seals/models/361/,max,resnet50,3.0,,,True
598,image_mlp_frozen,32,3,3139,60597,6416,0.2,2.0,0,2019-01-20 13:37:37,2019-01-20 13:37:36,309,2019-01-20 13:37:35,2019-01-20 13:32:26,19,7,2,7,0.6600828289264097,0.9709957461015839,0.06960591315172635,0.9428215344945095,0.18407251579951764,"[224, 224]",256,128,0,91,165127,,512.0,/mnt/seals/models/91/,max,vgg16,1.0,,,True
145,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,13,2019-01-22 06:09:26,2019-01-22 06:09:13,1514,2019-01-22 06:09:00,2019-01-22 05:43:45,17,5,8,1,0.6864433811802233,0.9651834683804889,0.0861745149123241,0.9428170350160492,0.15358342779114303,"[224, 224]",256,256,256,2984,920839,,512.0,/mnt/seals/models/2984/,max,vgg16,5.0,LSTM,1.0,True
2083,video_mlp_concat,32,3,3137,60553,6412,0.2,3.0,0,2019-01-20 20:56:57,2019-01-20 20:56:57,309,2019-01-20 20:56:55,2019-01-20 20:51:45,10,1,1,5,0.6461587503984698,0.9706585377411939,0.07171654004161349,0.9427635870497448,0.14808207755665517,"[224, 224]",256,128,512,344,1675655,,2048.0,/mnt/seals/models/344/,max,resnet50,3.0,,,True
2710,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,1.0,4,2019-01-23 15:36:00,2019-01-23 15:35:56,1556,2019-01-23 15:35:53,2019-01-23 15:09:56,14,4,2,5,0.6867623604465709,0.9574844978297735,0.10602804179712899,0.9427501522051113,0.14456400559859328,"[224, 224]",128,128,256,3661,1100551,,2048.0,/mnt/seals/models/3661/,max,resnet50,5.0,GRU,2.0,True
2264,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,25,2019-01-24 22:05:41,2019-01-24 22:05:16,3634,2019-01-24 22:04:55,2019-01-24 21:04:21,13,5,1,4,0.6888178913738019,0.9733746882576361,0.06681117228358749,0.9427276584050476,0.17196827985302066,"[224, 224]",256,256,512,5029,3479047,,2048.0,/mnt/seals/models/5029/,max,resnet50,10.0,GRU,2.0,True
3218,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,34,2019-01-23 00:51:17,2019-01-23 00:50:43,2480,2019-01-23 00:50:15,2019-01-23 00:08:54,10,2,1,4,0.6679425837320574,0.9683659937618196,0.08070722311494061,0.9427055666658019,0.14661192832591383,"[224, 224]",512,128,0,3421,4180743,,2048.0,/mnt/seals/models/3421/,max,resnet50,5.0,GRU,2.0,True
2363,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,23,2019-01-22 12:34:44,2019-01-22 12:34:21,2580,2019-01-22 12:34:00,2019-01-22 11:51:00,20,10,1,6,0.7023923444976077,0.9667888961131628,0.08047687715076841,0.9427055633172262,0.16216003705053295,"[224, 224]",128,512,512,3077,2545543,,512.0,/mnt/seals/models/3077/,max,vgg16,5.0,GRU,2.0,True
1141,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,10,2019-01-22 03:23:50,2019-01-22 03:23:39,1372,2019-01-22 03:23:29,2019-01-22 03:00:37,12,6,2,1,0.6366826156299841,0.9657264809284258,0.0870913932061983,0.9427055610104298,0.14364208176862286,"[224, 224]",512,512,256,3340,4329479,,2048.0,/mnt/seals/models/3340/,max,resnet50,5.0,GRU,1.0,True
333,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,6,2019-01-25 06:22:07,2019-01-25 06:22:00,1994,2019-01-25 06:21:55,2019-01-25 05:48:40,20,7,7,3,0.6798722044728435,0.9714872407767944,0.07487656528265527,0.9426830016698416,0.1589927866696268,"[224, 224]",128,128,128,5204,869895,,2048.0,/mnt/seals/models/5204/,max,resnet50,10.0,GRU,1.0,True
1262,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,3.0,10,2019-01-22 01:17:24,2019-01-22 01:17:14,1368,2019-01-22 01:17:04,2019-01-22 00:54:16,14,2,6,3,0.6624163213261077,0.9664166813993045,0.08292958008305773,0.9426744669508502,0.14396273594347297,"[224, 224]",256,256,256,1965,2362887,,2048.0,/mnt/seals/models/1965/,max,resnet50,3.0,GRU,2.0,True
1954,image_mlp_frozen,32,3,3139,60597,6416,0.2,3.0,1,2019-01-20 14:20:33,2019-01-20 14:20:32,329,2019-01-20 14:20:30,2019-01-20 14:15:01,13,3,1,6,0.6712328767123288,0.9702932139075424,0.07256057302178724,0.9426656753345023,0.15302733928336765,"[224, 224]",256,128,128,154,574855,,2048.0,/mnt/seals/models/154/,max,resnet50,1.0,,,True
2001,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,40,2019-01-23 05:47:40,2019-01-23 05:47:00,2393,2019-01-23 05:46:31,2019-01-23 05:06:38,11,2,5,1,0.6539074960127591,0.9713620037093105,0.07137919590800616,0.9426609765873122,0.15318505186936382,"[224, 224]",128,512,0,3613,1824135,,2048.0,/mnt/seals/models/3613/,max,resnet50,5.0,GRU,2.0,True
320,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,29,2019-01-23 02:52:44,2019-01-23 02:52:15,3107,2019-01-23 02:51:52,2019-01-23 02:00:05,24,4,14,3,0.7009584664536741,0.9672747776522898,0.08252470344757755,0.9426606712433725,0.13889903631777495,"[224, 224]",128,0,0,4732,247047,,512.0,/mnt/seals/models/4732/,max,vgg16,10.0,GRU,1.0,True
1917,image_mlp_frozen,32,3,3139,60597,6416,0.2,2.0,0,2019-01-20 13:28:47,2019-01-20 13:28:46,327,2019-01-20 13:28:44,2019-01-20 13:23:17,15,5,2,5,0.6654985664224276,0.9715356130327473,0.06905067888346218,0.9426434115875986,0.15722913778110634,"[224, 224]",512,256,0,135,1182215,,2048.0,/mnt/seals/models/135/,max,resnet50,1.0,,,True
3256,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,9,2019-01-23 21:42:44,2019-01-23 21:42:35,2563,2019-01-23 21:42:28,2019-01-23 20:59:44,10,3,3,1,0.6686900958466453,0.9611961546219584,0.09684701114471082,0.9426383447855776,0.14633895851795134,"[299, 299]",256,128,128,4049,2198023,,1536.0,/mnt/seals/models/4049/,max,inception_resnet_v2,10.0,LSTM,2.0,True
1926,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,3,2019-01-25 01:59:29,2019-01-25 01:59:26,1685,2019-01-25 01:59:24,2019-01-25 01:31:18,18,1,5,9,0.6661341853035143,0.9675420484202739,0.08462465264360915,0.9426383416367233,0.13649545649311698,"[224, 224]",256,0,0,5116,1772039,,2048.0,/mnt/seals/models/5116/,max,resnet50,10.0,GRU,1.0,True
2971,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,15,2019-01-24 08:34:54,2019-01-24 08:34:38,2173,2019-01-24 08:34:25,2019-01-24 07:58:12,16,2,5,6,0.7105431309904153,0.9655410683876051,0.08604254098551883,0.9426383407796387,0.14608106395813703,"[224, 224]",128,512,128,4624,460807,,512.0,/mnt/seals/models/4624/,max,vgg16,10.0,LSTM,1.0,True
1790,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,2.0,18,2019-01-22 10:08:26,2019-01-22 10:08:08,1685,2019-01-22 10:07:53,2019-01-22 09:39:48,10,3,1,3,0.6854864433811803,0.9618120704872335,0.09520980984671445,0.942616388145904,0.14301359744628567,"[224, 224]",512,128,512,3392,5380231,,2048.0,/mnt/seals/models/3392/,max,resnet50,5.0,LSTM,1.0,True
1862,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,5,2019-01-25 06:23:30,2019-01-25 06:23:24,1523,2019-01-25 06:23:20,2019-01-25 05:57:56,15,3,6,3,0.6712460063897764,0.968313110932824,0.08278629097765405,0.9426160146199603,0.1444382204110267,"[224, 224]",128,0,0,5245,836871,,2048.0,/mnt/seals/models/5245/,max,resnet50,10.0,GRU,2.0,True
3105,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,2.0,5,2019-01-21 21:22:35,2019-01-21 21:22:29,1052,2019-01-21 21:22:24,2019-01-21 21:04:52,11,5,2,1,0.6796302199553714,0.965345600595396,0.08599831222918906,0.9425853480046344,0.14790716177725227,"[224, 224]",256,128,0,1497,985479,,512.0,/mnt/seals/models/1497/,max,vgg16,3.0,LSTM,2.0,True
452,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,3,2019-01-23 14:36:14,2019-01-23 14:36:11,1332,2019-01-23 14:36:08,2019-01-23 14:13:55,8,2,1,2,0.6704944178628389,0.971572126969913,0.06975495156066513,0.9425718044669142,0.14979238101233555,"[224, 224]",256,128,512,3521,2889223,,2048.0,/mnt/seals/models/3521/,max,resnet50,5.0,LSTM,2.0,True
1619,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,3.0,0,2019-01-21 11:23:26,2019-01-21 11:23:25,842,2019-01-21 11:23:24,2019-01-21 11:09:22,20,5,4,8,0.6675167357347784,0.9605611276936062,0.09720006228003174,0.9425630711125941,0.15155358331804342,"[224, 224]",512,512,128,1300,1903623,,512.0,/mnt/seals/models/1300/,max,vgg16,3.0,GRU,1.0,True
221,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,2.0,16,2019-01-22 10:19:04,2019-01-22 10:18:47,1656,2019-01-22 10:18:32,2019-01-22 09:50:55,17,6,5,3,0.6456140350877193,0.9655682990420534,0.08595215433049812,0.9425495092044311,0.1534487320465988,"[224, 224]",256,256,0,3516,1837831,,2048.0,/mnt/seals/models/3516/,max,resnet50,5.0,GRU,1.0,True
1852,video_mlp_concat,32,3,3137,60553,6412,0.2,1.0,1,2019-01-20 21:08:37,2019-01-20 21:08:36,482,2019-01-20 21:08:34,2019-01-20 21:00:32,15,6,1,5,0.6490277335033472,0.9638333492079586,0.0924470932122854,0.9425407887174424,0.15281262199951573,"[224, 224]",512,256,256,325,3345159,,2048.0,/mnt/seals/models/325/,max,resnet50,3.0,,,True
732,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,11,2019-01-22 04:46:20,2019-01-22 04:46:08,1626,2019-01-22 04:45:59,2019-01-22 04:18:52,19,6,9,1,0.6832535885167463,0.9669116638184272,0.08141763208690993,0.9425049212094996,0.14606567509425863,"[224, 224]",512,256,512,3363,2167559,,2048.0,/mnt/seals/models/3363/,max,resnet50,5.0,SimpleRNN,2.0,True
1985,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,3,2019-01-23 14:08:24,2019-01-23 14:08:21,1301,2019-01-23 14:08:19,2019-01-23 13:46:37,8,1,3,1,0.661244019138756,0.9732153293129339,0.06547293595102953,0.942482631751214,0.14669051812903564,"[224, 224]",256,256,512,3489,3545095,,2048.0,/mnt/seals/models/3489/,max,resnet50,5.0,LSTM,2.0,True
1802,video_mlp_concat,32,3,3135,60509,6408,0.2,2.0,0,2019-01-20 23:33:12,2019-01-20 23:33:11,492,2019-01-20 23:33:10,2019-01-20 23:24:57,17,6,4,4,0.6379585326953747,0.9709157900491557,0.07776714952959919,0.942482627881749,0.148665697740556,"[224, 224]",256,128,512,536,2724231,,2048.0,/mnt/seals/models/536/,max,resnet50,5.0,,,True
726,image_mlp_frozen,32,3,3139,60597,6416,0.2,2.0,1,2019-01-20 14:08:43,2019-01-20 14:08:42,274,2019-01-20 14:08:40,2019-01-20 14:04:05,10,3,2,2,0.6588085377508761,0.9682445494637253,0.07818450948791299,0.9424430146776233,0.146455217905324,"[224, 224]",256,128,256,153,592263,,2048.0,/mnt/seals/models/153/,max,resnet50,1.0,,,True
1209,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,2.0,1,2019-01-21 16:37:22,2019-01-21 16:37:21,1543,2019-01-21 16:37:19,2019-01-21 16:11:36,36,9,16,8,0.6754861332483264,0.9646708683229493,0.08590619867303996,0.9424071104840346,0.15354883931089178,"[224, 224]",512,256,0,1336,2232327,,512.0,/mnt/seals/models/1336/,max,vgg16,3.0,LSTM,1.0,True
659,image_mlp_frozen,32,3,3139,60597,6416,0.2,1.0,1,2019-01-20 14:19:19,2019-01-20 14:19:17,406,2019-01-20 14:19:15,2019-01-20 14:12:28,16,7,5,1,0.655622809812042,0.962664360320141,0.09339675358446888,0.9423539535957679,0.14758178582438208,"[224, 224]",512,128,512,136,1184391,,2048.0,/mnt/seals/models/136/,max,resnet50,1.0,,,True
3425,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,1.0,19,2019-01-22 12:39:20,2019-01-22 12:39:01,1690,2019-01-22 12:38:47,2019-01-22 12:10:37,17,5,4,5,0.6736842105263158,0.9522881060767283,0.11798172633629576,0.9423488665014021,0.13581290510895844,"[224, 224]",128,512,0,3611,610439,,2048.0,/mnt/seals/models/3611/,max,resnet50,5.0,SimpleRNN,2.0,True
3355,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,11,2019-01-24 02:43:58,2019-01-24 02:43:47,2092,2019-01-24 02:43:37,2019-01-24 02:08:44,15,1,9,2,0.694888178913738,0.9733273841754125,0.06723738439923518,0.9423480726995107,0.15318566934322334,"[224, 224]",512,512,0,4376,2365447,,512.0,/mnt/seals/models/4376/,max,vgg16,10.0,LSTM,1.0,True
2885,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,2.0,1,2019-01-21 18:31:38,2019-01-21 18:31:37,606,2019-01-21 18:31:36,2019-01-21 18:21:29,14,2,5,4,0.6958877908830092,0.9554109772732163,0.1077911913528552,0.9423402711070483,0.1521663760495647,"[224, 224]",256,128,256,1483,346503,,512.0,/mnt/seals/models/1483/,max,vgg16,3.0,SimpleRNN,2.0,True
2546,video_mlp_concat,32,3,3137,60553,6412,0.2,3.0,0,2019-01-20 20:44:32,2019-01-20 20:44:31,303,2019-01-20 20:44:31,2019-01-20 20:39:27,11,2,1,5,0.6681542875358624,0.9708779444003985,0.07455828361252703,0.9422957133815502,0.15879624521944274,"[224, 224]",256,256,512,340,1774087,,2048.0,/mnt/seals/models/340/,max,resnet50,3.0,,,True
1621,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,3.0,2,2019-01-21 17:40:15,2019-01-21 17:40:12,632,2019-01-21 17:40:09,2019-01-21 17:29:37,13,5,4,1,0.6735734778450749,0.9581806867039533,0.10199379918732407,0.942251152235199,0.15439258210003115,"[224, 224]",128,512,256,1548,445319,,512.0,/mnt/seals/models/1548/,max,vgg16,3.0,GRU,1.0,True
1897,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,3.0,13,2019-01-22 04:30:02,2019-01-22 04:29:48,1463,2019-01-22 04:29:35,2019-01-22 04:05:12,11,2,5,1,0.6633726490277335,0.9688301507387953,0.0761086199644675,0.9422288743763958,0.14589547436087116,"[224, 224]",128,512,256,2057,2822663,,2048.0,/mnt/seals/models/2057/,max,resnet50,3.0,LSTM,2.0,True
50,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,9,2019-01-23 23:52:31,2019-01-23 23:52:21,2955,2019-01-23 23:52:13,2019-01-23 23:02:58,17,9,2,3,0.6277955271565495,0.9624024178534186,0.09293689186524101,0.9422140997363165,0.1513896818765069,"[299, 299]",128,512,0,4125,1627527,,1536.0,/mnt/seals/models/4125/,max,inception_resnet_v2,10.0,GRU,2.0,True
1568,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,3.0,4,2019-01-21 20:54:43,2019-01-21 20:54:39,1070,2019-01-21 20:54:34,2019-01-21 20:36:44,14,6,4,1,0.6856869620656678,0.9630736839764774,0.08975491134151985,0.9422065956995626,0.16080293294532702,"[224, 224]",256,128,256,1485,838791,,512.0,/mnt/seals/models/1485/,max,vgg16,3.0,GRU,2.0,True
3342,video_mlp_concat,32,3,3135,60509,6408,0.2,2.0,0,2019-01-20 23:34:01,2019-01-20 23:34:01,409,2019-01-20 23:33:59,2019-01-20 23:27:10,17,1,8,5,0.6296650717703349,0.966729872355836,0.09030045104834736,0.9421928161092465,0.15941096516733014,"[224, 224]",128,128,128,554,1344775,,2048.0,/mnt/seals/models/554/,max,resnet50,5.0,,,True
2035,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,14,2019-01-22 07:40:04,2019-01-22 07:39:49,1728,2019-01-22 07:39:39,2019-01-22 07:10:50,17,7,3,4,0.6813397129186602,0.9657028714310114,0.08772190466662802,0.9421705193585076,0.14256204205208206,"[224, 224]",512,512,512,3331,3150855,,2048.0,/mnt/seals/models/3331/,max,resnet50,5.0,SimpleRNN,2.0,True
3170,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,2.0,31,2019-01-22 20:44:28,2019-01-22 20:43:56,1651,2019-01-22 20:43:29,2019-01-22 20:15:57,10,5,1,1,0.6494417862838915,0.9609810245401746,0.09903468215708262,0.9421705189120309,0.1411595040009114,"[224, 224]",256,0,0,3581,1772039,,2048.0,/mnt/seals/models/3581/,max,resnet50,5.0,GRU,2.0,True
2123,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,1.0,4,2019-01-21 21:10:42,2019-01-21 21:10:37,1047,2019-01-21 21:10:32,2019-01-21 20:53:05,24,5,5,11,0.6789926681542875,0.9505816789086272,0.12330099023770175,0.9421620355199741,0.1500500733879902,"[224, 224]",128,0,0,1657,329095,,512.0,/mnt/seals/models/1657/,max,vgg16,3.0,LSTM,2.0,True
2464,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,2.0,2,2019-01-21 12:26:06,2019-01-21 12:26:03,577,2019-01-21 12:26:01,2019-01-21 12:16:24,11,1,6,1,0.693018807778132,0.9550335039025918,0.11065777495596692,0.9421620351481422,0.15680237781867637,"[224, 224]",512,512,128,1299,1247239,,512.0,/mnt/seals/models/1299/,max,vgg16,3.0,SimpleRNN,2.0,True
1015,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,2.0,14,2019-01-22 08:50:02,2019-01-22 08:49:48,1485,2019-01-22 08:49:34,2019-01-22 08:24:49,16,6,5,2,0.6947368421052631,0.962846154055209,0.09168824703932088,0.9421482249889779,0.14840032322129953,"[224, 224]",128,512,128,3088,460807,,512.0,/mnt/seals/models/3088/,max,vgg16,5.0,LSTM,1.0,True
1294,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,1.0,3,2019-01-21 20:09:27,2019-01-21 20:09:24,1766,2019-01-21 20:09:20,2019-01-21 19:39:54,22,8,1,10,0.6538093720114759,0.9560408865082733,0.10910213130629431,0.9421397537197534,0.14449572690523793,"[224, 224]",512,512,256,1805,5903367,,2048.0,/mnt/seals/models/1805/,max,resnet50,3.0,GRU,2.0,True
1539,image_mlp_frozen,32,3,3139,60597,6416,0.2,3.0,1,2019-01-20 14:04:01,2019-01-20 14:04:00,277,2019-01-20 14:03:58,2019-01-20 13:59:21,10,4,2,1,0.660401401720293,0.9704511652827383,0.07133400373298915,0.9421312973980892,0.15891534617714156,"[224, 224]",256,512,256,145,789255,,2048.0,/mnt/seals/models/145/,max,resnet50,1.0,,,True
1651,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,3.0,17,2019-01-22 10:59:40,2019-01-22 10:59:22,1690,2019-01-22 10:59:08,2019-01-22 10:30:58,11,4,2,2,0.6567783094098884,0.9658586934309099,0.08494928558220614,0.9421259338936109,0.14393024081445663,"[224, 224]",512,512,512,3328,5773831,,2048.0,/mnt/seals/models/3328/,max,resnet50,5.0,LSTM,1.0,True
3360,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,3.0,11,2019-01-22 01:04:12,2019-01-22 01:04:01,1378,2019-01-22 01:03:51,2019-01-22 00:40:53,10,3,3,1,0.6585910105196047,0.9685753574300938,0.07690050084983456,0.9421174751172866,0.14700500884152023,"[224, 224]",256,512,256,1929,4330503,,2048.0,/mnt/seals/models/1929/,max,resnet50,3.0,LSTM,2.0,True
811,image_mlp_frozen,32,3,3139,60597,6416,0.2,3.0,0,2019-01-20 13:32:22,2019-01-20 13:32:22,267,2019-01-20 13:32:21,2019-01-20 13:27:53,16,8,4,1,0.6693214399490284,0.9719434591774335,0.06842184601150622,0.9421090320161454,0.18878321397928824,"[224, 224]",256,512,0,83,266503,,512.0,/mnt/seals/models/83/,max,vgg16,1.0,,,True
845,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,2.0,22,2019-01-24 20:15:59,2019-01-24 20:15:37,3308,2019-01-24 20:15:17,2019-01-24 19:20:09,12,4,1,4,0.678594249201278,0.973703455529459,0.06640368258289538,0.9421024591000835,0.1478690022498453,"[224, 224]",256,512,0,5021,2955015,,2048.0,/mnt/seals/models/5021/,max,resnet50,10.0,GRU,2.0,True
3187,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,1.0,3,2019-01-23 14:49:47,2019-01-23 14:49:44,2304,2019-01-23 14:49:41,2019-01-23 14:11:17,19,5,1,10,0.6775119617224881,0.9644256126561686,0.08781584498590826,0.9420813444104237,0.1452608611178904,"[224, 224]",256,128,256,3529,2723335,,2048.0,/mnt/seals/models/3529/,max,resnet50,5.0,LSTM,2.0,True
2985,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,3.0,7,2019-01-21 22:50:43,2019-01-21 22:50:35,1496,2019-01-21 22:50:27,2019-01-21 22:25:30,17,6,5,3,0.6933375836786739,0.9651946126425444,0.08475801702112931,0.9420729173174219,0.14720133155193912,"[224, 224]",128,128,128,1617,509959,,512.0,/mnt/seals/models/1617/,max,vgg16,3.0,LSTM,2.0,True
407,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,2.0,2,2019-01-23 13:44:58,2019-01-23 13:44:55,1285,2019-01-23 13:44:54,2019-01-23 13:23:28,7,1,2,1,0.6842105263157895,0.9702830632326062,0.0741910904593712,0.9420590519756264,0.14354990960358086,"[224, 224]",512,256,128,3377,6197255,,2048.0,/mnt/seals/models/3377/,max,resnet50,5.0,LSTM,2.0,True
1247,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,2.0,13,2019-01-22 06:57:48,2019-01-22 06:57:35,1287,2019-01-22 06:57:24,2019-01-22 06:35:56,15,4,3,5,0.6657097288676236,0.9585256639414096,0.1027069939157739,0.9420590513059114,0.1486149781503332,"[224, 224]",128,128,128,3156,280071,,512.0,/mnt/seals/models/3156/,max,vgg16,5.0,GRU,1.0,True
1919,video_lrcnn_frozen,32,3,3135,60509,6408,0.2,2.0,9,2019-01-22 03:11:01,2019-01-22 03:10:52,1278,2019-01-22 03:10:43,2019-01-22 02:49:25,16,1,6,6,0.6944178628389155,0.9623173068979897,0.09270797965440743,0.9420590487014637,0.15284550279267273,"[224, 224]",256,256,0,3000,855047,,512.0,/mnt/seals/models/3000/,max,vgg16,5.0,LSTM,1.0,True
1674,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,3.0,1,2019-01-21 15:57:46,2019-01-21 15:57:45,711,2019-01-21 15:57:43,2019-01-21 15:45:52,17,2,7,5,0.6713420465412815,0.9626914930349928,0.0908483994276844,0.9420506360377658,0.1501018137241704,"[224, 224]",512,512,0,1308,1840647,,512.0,/mnt/seals/models/1308/,max,vgg16,3.0,GRU,1.0,True
3242,video_lrcnn_frozen,32,3,3130,60399,6398,0.2,3.0,1,2019-01-24 23:56:21,2019-01-24 23:56:19,2069,2019-01-24 23:56:18,2019-01-24 23:21:49,21,1,10,7,0.6817891373801916,0.9778000218289686,0.05835541299158155,0.9420354759443473,0.144074946234341,"[224, 224]",512,0,0,4988,3937287,,2048.0,/mnt/seals/models/4988/,max,resnet50,10.0,GRU,1.0,True
1962,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,2.0,1,2019-01-21 16:14:18,2019-01-21 16:14:17,486,2019-01-21 16:14:16,2019-01-21 16:06:09,9,3,2,1,0.6780363404526617,0.958109910570065,0.10412562004601095,0.9420283569519177,0.1528688596976376,"[224, 224]",128,512,0,1560,397831,,512.0,/mnt/seals/models/1560/,max,vgg16,3.0,LSTM,1.0,True
485,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,2.0,9,2019-01-22 01:13:20,2019-01-22 01:13:10,2197,2019-01-22 01:13:01,2019-01-22 00:36:23,20,5,9,3,0.6518967166082243,0.9708048081950421,0.0720284213522911,0.9420060799483277,0.1519239552305106,"[224, 224]",512,256,128,1841,6131719,,2048.0,/mnt/seals/models/1841/,max,resnet50,3.0,LSTM,2.0,True
1332,video_lrcnn_frozen,32,3,3137,60553,6412,0.2,2.0,9,2019-01-22 01:03:35,2019-01-22 01:03:25,1270,2019-01-22 01:03:16,2019-01-22 00:42:06,12,5,2,2,0.6512591648071406,0.9628330450133739,0.09137513047695148,0.9420060790187481,0.1437447993567008,"[224, 224]",256,256,512,1957,2561543,,2048.0,/mnt/seals/models/1957/,max,resnet50,3.0,GRU,2.0,True
